790.127	000.583	910.284
834.43	002.07	909.84
850.62	003.08	910.41
863.38	003.51	910.86
840.45	005.82	909.39
794.13	009.49	908.61
809.47	010.98	907.78
856.27	012.00	909.70
818.31	012.21	908.05
871.09	012.31	910.51
791.257	012.474	909.685
868.44	012.95	910.84
865.33	014.99	910.40
835.73	015.27	908.33
794.58	019.33	908.32
812.57	021.21	906.90
832.01	021.95	907.48
791.11	022.20	909.29
785.42	022.37	909.08
844.36	022.46	907.86
862.59	022.59	909.12
794.51	023.90	908.28
817.16	025.13	906.52
792.074	025.168	909.230
827.19	025.31	906.90
847.06	025.42	907.73
866.07	027.33	909.04
795.02	031.53	907.90
874.52	031.93	909.44
818.22	032.86	905.89
865.90	033.90	908.71
838.67	034.10	906.41
854.43	034.22	907.65
876.88	039.70	908.79
869.13	042.14	908.16
850.08	046.11	906.41
794.039	048.344	908.106
879.04	050.16	908.10
828.23	050.37	904.38
811.76	050.99	905.21
796.63	051.52	906.88
865.04	053.84	907.25
845.95	057.33	905.36
881.03	058.24	907.77
827.62	059.58	903.49
815.86	059.60	904.11
797.64	060.10	906.67
794.28	060.27	907.31
788.64	061.02	907.20
861.84	061.42	906.45
845.50	064.28	904.82
828.31	067.43	902.96
814.34	071.07	903.60
795.771	071.282	906.730
798.98	075.34	905.42
887.97	078.38	906.61
859.55	082.50	904.63
817.54	083.61	902.47
799.56	083.76	904.90
823.96	083.81	901.81
840.97	084.16	902.60
837.41	084.36	902.08
830.98	084.37	901.69
889.13	087.24	905.98
802.830	087.515	904.390
871.08	090.30	904.66
854.76	091.46	903.16
843.50	092.92	901.90
840.34	093.19	901.36
834.02	094.09	900.79
799.75	094.39	904.24
826.87	095.05	901.01
823.00	095.19	901.06
827.44	097.08	901.01
891.51	097.17	905.46
797.94	097.39	904.78
791.72	098.46	904.73
864.53	101.20	903.19
800.13	103.48	903.78
822.47	104.22	900.72
847.14	104.45	901.01
843.05	105.15	900.16
834.64	106.13	899.44
892.32	107.11	904.81
872.72	109.68	903.03
850.26	112.20	900.59
845.56	112.54	899.74
834.07	113.48	898.74
818.20	114.00	900.59
801.15	115.05	902.86
835.72	122.50	897.99
835.75	122.84	897.79
836.30	122.87	897.98
835.34	122.93	897.93
793.41	123.10	902.73
847.96	123.32	899.00
836.02	123.42	897.95
854.49	123.66	899.78
799.44	123.67	902.96
895.77	123.68	903.31
801.81	123.86	902.07
871.07	124.28	901.55
842.91	124.38	898.18
819.38	124.57	899.68
835.97	125.13	897.84
896.83	129.35	902.78
813.76	131.69	900.32
896.94	132.60	902.43
800.449	132.751	902.476
802.968	133.119	901.382
829.84	133.22	897.93
870.90	133.85	900.51
855.91	134.35	898.63
802.58	135.67	901.30
848.279	135.734	897.016
822.261	135.835	898.997
843.10	135.87	896.72
812.471	136.263	900.368
829.003	136.406	897.949
840.949	136.512	896.919
825.99	137.14	898.56
812.88	137.39	900.33
821.713	138.418	899.308
867.53	138.90	899.51
898.63	140.08	901.67
844.81	140.36	896.44
843.307	140.647	896.597
831.069	140.824	898.007
831.44	140.87	897.93
851.34	141.04	896.75
841.022	142.269	896.900
803.518	144.207	900.662
843.594	144.405	896.330
860.149	144.494	898.026
883.830	144.957	900.522
827.200	144.996	898.315
855.067	145.732	896.893
851.429	147.388	896.015
830.746	147.700	897.425
813.659	147.894	899.504
844.995	148.349	895.818
838.100	148.476	896.600
871.860	149.214	898.950
902.745	151.195	900.554
802.827	152.554	900.347
859.210	153.066	896.498
841.965	154.320	895.572
828.577	154.978	897.121
855.674	154.980	895.784
848.916	155.003	895.364
811.886	156.149	898.989
